founders type generation contribution sex
M0012 genealogical gen4 0.0408163265306122 male
M0012 genealogical gen2 0.0408163265306122 male
M0012 genealogical gen3 0.0408163265306122 male
M0013 genealogical gen1 NA male
M0013 genealogical gen3 0 male
M0013 genetic gen2 NA male
M0013 genetic gen4 0.0111111111111111 male
M0013 genealogical gen4 0 male
M0013 genetic gen3 NA male
M0013 genetic gen1 NA male
M0013 genealogical gen2 NA male
M0014 genealogical gen2 NA male
M0014 genealogical gen3 0 male
M0014 genetic gen3 NA male
M0014 genetic gen2 NA male
M0014 genetic gen4 0.0333333333333333 male
M0014 genealogical gen1 NA male
M0014 genetic gen1 NA male
M0014 genealogical gen4 0 male
M0015 genealogical gen3 0 male
M0015 genealogical gen2 NA male
M0015 genealogical gen4 0 male
M0015 genealogical gen1 NA male
M0015 genetic gen1 NA male
M0015 genetic gen2 NA male
M0015 genetic gen4 0.0111111111111111 male
M0015 genetic gen3 NA male
M0016 genealogical gen1 NA male
M0016 genetic gen1 NA male
M0016 genetic gen4 0.0305555555555556 male
M0016 genetic gen2 NA male
M0016 genealogical gen2 0.0510204081632653 male
M0016 genealogical gen4 0.0679118660951857 male
M0016 genetic gen3 0.0158959537572254 male
M0016 genealogical gen3 0.0568007549840746 male
M0017 genetic gen4 0.0611111111111111 male
M0017 genealogical gen4 0.159402566421559 male
M0017 genealogical gen2 0.0918367346938776 male
M0017 genetic gen2 NA male
M0017 genealogical gen1 NA male
M0017 genetic gen1 NA male
M0017 genetic gen3 0.0317919075144509 male
M0017 genealogical gen3 0.114958121977115 male
M0018 genealogical gen2 0.0714285714285714 male
M0018 genealogical gen4 0.223451692815855 male
M0018 genetic gen4 0.0638888888888889 male
M0018 genetic gen3 0.0332369942196532 male
M0018 genetic gen2 NA male
M0018 genealogical gen1 NA male
M0018 genealogical gen3 0.123451692815855 male
M0018 genetic gen1 NA male
M0019 genealogical gen2 0.0816326530612245 male
M0019 genealogical gen3 0.0816326530612245 male
M0019 genealogical gen4 0.0816326530612245 male
M0019 genealogical gen1 NA male
M0019 genetic gen4 0.0444444444444444 male
M0019 genetic gen2 NA male
M0019 genetic gen1 NA male
M0019 genetic gen3 0.023121387283237 male
M0020 genealogical gen2 NA male
M0020 genealogical gen3 0 male
M0020 genetic gen1 NA male
M0020 genealogical gen4 0 male
M0020 genetic gen4 0.0111111111111111 male
M0020 genealogical gen1 NA male
M0020 genetic gen2 NA male
M0020 genetic gen3 NA male
M0021 genetic gen4 0.0194444444444444 male
M0021 genealogical gen2 0.0204081632653061 male
M0021 genealogical gen4 0.0710825370610672 male
M0021 genetic gen2 NA male
M0021 genealogical gen3 0.0377492037277339 male
M0021 genetic gen3 0.0101156069364162 male
M0021 genetic gen1 NA male
M0021 genealogical gen1 NA male
M0022 genealogical gen2 0.0204081632653061 male
M0022 genealogical gen4 0.0541910791291468 male
M0022 genealogical gen3 0.0319688569069246 male
M0022 genetic gen4 0.0166666666666667 male
M0022 genetic gen2 NA male
M0022 genetic gen1 NA male
M0022 genealogical gen1 NA male
M0022 genetic gen3 0.00867052023121387 male
M0023 genealogical gen2 NA male
M0023 genetic gen2 NA male
M0023 genealogical gen3 0 male
M0023 genealogical gen1 NA male
M0023 genetic gen3 NA male
M0023 genealogical gen4 0 male
M0023 genetic gen4 0.0111111111111111 male
M0023 genetic gen1 NA male
M0024 genealogical gen3 0.0595139790020054 male
M0024 genetic gen4 0.0305555555555556 male
M0024 genetic gen1 NA male
