Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_530	P54A	f	NA	Dec	2017	2017/2018	NA	Plot	0
Af_531	BRAMA9	f	NA	Dec	2017	2017/2018	NA	Forest1	0
Af_532	ZBS4	f	NA	Dec	2017	2017/2018	NA	Institute	0
Af_533	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_534	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_535	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_536	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_537	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_538	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_539	341625	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_540	BRAMA1	m	NA	NA	NA	NA	NA	NA	0
Af_541	ZBS3	m	NA	NA	NA	NA	NA	NA	0
Af_542	P56	f	NA	NA	NA	NA	NA	NA	0
Af_543	BRAMA6	m	ad	Dec	2017	2017/2018	2016	Forest1	1
Af_544	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_545	P57	m	NA	NA	NA	NA	NA	NA	0
Af_546	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_547	BRAMA5	f	ad?	Dec	2017	2017/2018	2016	Forest1	1
Af_548	NA	NA	NA	NA	NA	NA	NA	NA	0
Af_549	1329697	m	juv	July	2016	2016/2017	2016	Plot	0
Af_550	1326054	m	ad?	Oct	2016	2016/2017	2015	Plot	1
Af_551	341479	m	juv	July	2017	2017/2018	2017	Plot	1
Af_552	1316204	m	juv	July	2016	2016/2017	2016	Plot	1
Af_553	341664	m	NA	July	2017	2017/2018	NA	Plot	0
Af_554	1316255	f	juv	July	2016	2016/2017	2016	Plot	0
Af_555	1315504	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_556	341624	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_557	341462	m	ad	July	2017	2017/2018	2016	Plot	0
Af_558	341887	m	NA	July	2017	2017/2018	NA	Plot	0
Af_559	1315512	m	ad	July	2016	2016/2017	2015	Plot	0
