sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_227	primary	38.7	26.69	191	3176222	82.6
Af_228	primary	37.42	26.54	228	3170606	80.1
Af_230	primary	3.52	1.37	13	750	5.2
Af_231	primary	16.48	12.94	108	1157673	78.8
Af_232	primary	39.27	25.89	180	3219675	83.2
Af_233	primary	8.66	5.81	52	415240	74.1
Af_234	primary	46.23	32.19	232	4027272	81.2
Af_235	primary	24.6	16.44	122	1903108	79.9
Af_236	primary	3.53	1.29	15	4564	13.7
Af_237	primary	13	8.61	66	879513	81.0
Af_238	primary	31.83	21.99	169	2497996	81.1
Af_239	primary	26.63	18.37	193	2053292	80.1
Af_24	primary	14.8	9.19	73	1026618	74.9
Af_240	primary	47.48	32.45	227	4030160	82.8
Af_241	primary	5.26	2.74	28	147582	61.8
Af_242	primary	29.76	19.25	147	2369417	81.8
Af_244	primary	3.5	0.96	7	105	1.2
Af_246	primary	52.41	38.21	268	4560437	82.0
Af_247	primary	4.24	2.17	10	161	2.0
Af_248	primary	4.35	1.89	24	59713	47.7
Af_249	primary	15.99	10.41	90	1132139	81.1
Af_25	primary	24.22	15.19	130	1774908	81.0
Af_250	primary	22.33	15.48	116	1814715	79.4
Af_251	primary	25.05	15.9	121	1911078	82.0
Af_252	primary	28.91	17.63	138	2266029	81.5
Af_253	primary	4.24	1.99	31	54343	42.3
Af_254	primary	28.2	18.21	138	2226119	79.1
Af_255	primary	25.11	16.21	147	1939876	79.6
Af_256	primary	3.81	2.2	22	2723	10.3
Af_257	primary	3.8	1.31	18	22730	28.0
Af_258	primary	10.83	7.77	75	636194	74.9
Af_26	primary	19.32	11.84	102	1402412	78.8
Af_260	primary	4.83	2.1	18	127897	62.6
Af_261	primary	10.27	6.81	53	606610	77.5
Af_263	primary	32.68	21.93	171	2616443	82.5
Af_265	primary	22.89	14.23	128	1739268	81.0
Af_266	primary	32.48	20.29	207	2561647	81.4
Af_267	primary	20.15	12.31	134	1507305	81.1
Af_268	primary	6.11	3.54	46	213123	68.7
Af_27	primary	20.62	13.01	110	1503272	78.7
Af_270	primary	49.23	34.78	279	4219973	77.9
Af_271	primary	8.55	5.9	50	411403	73.7
Af_272	primary	5.44	2.53	21	199840	69.4
Af_273	primary	13.49	8.97	76	921505	77.5
Af_274	primary	37.91	25.2	190	3030052	83.6
Af_275	primary	41.96	27.74	223	3330464	82.5
Af_277	primary	15.57	10.47	88	1084199	78.4
Af_278	primary	42.04	26.59	226	3445121	82.2
Af_279	primary	27.8	18.37	130	2190092	82.7
Af_280	primary	15.99	11.51	108	1101445	76.3
